pos,neg,pos_count,neg_count
positive,negative,234,157
positive,negative,235,157
positive,negative,235,157
positive,negative,235,157
positive,negative,235,157
positive,negative,235,158
positive,negative,236,158
positive,negative,236,159
positive,negative,236,159
positive,negative,237,159
positive,negative,238,159
positive,negative,239,159
positive,negative,240,159
positive,negative,240,160
positive,negative,240,160
positive,negative,240,161
positive,negative,241,161
positive,negative,241,161
positive,negative,241,161
positive,negative,241,161
positive,negative,241,162
positive,negative,242,162
positive,negative,242,163
positive,negative,242,163
positive,negative,243,163
positive,negative,244,163
positive,negative,245,163
positive,negative,246,163
positive,negative,246,164
positive,negative,246,164
positive,negative,246,165
positive,negative,247,165
positive,negative,247,165
positive,negative,247,165
positive,negative,247,165
positive,negative,247,166
positive,negative,248,166
positive,negative,248,167
positive,negative,248,167
positive,negative,249,167
positive,negative,250,167
positive,negative,251,167
positive,negative,252,167
positive,negative,252,168
positive,negative,252,168
positive,negative,252,169
positive,negative,253,169
positive,negative,253,169
positive,negative,253,169
positive,negative,253,169
positive,negative,253,170
positive,negative,254,170
positive,negative,254,171
positive,negative,254,171
positive,negative,255,171
positive,negative,256,171
positive,negative,257,171
positive,negative,258,171
positive,negative,258,172
positive,negative,258,172
positive,negative,258,173
positive,negative,259,173
positive,negative,259,173
positive,negative,259,173
positive,negative,259,173
positive,negative,259,174
positive,negative,260,174
positive,negative,260,175
positive,negative,260,175
positive,negative,261,175
positive,negative,262,175
positive,negative,263,175
positive,negative,264,175
positive,negative,264,176
positive,negative,264,176
positive,negative,264,177
positive,negative,265,177
positive,negative,265,177
positive,negative,265,177
positive,negative,265,177
positive,negative,265,178
positive,negative,266,178
positive,negative,266,179
positive,negative,266,179
positive,negative,267,179
positive,negative,268,179
positive,negative,269,179
positive,negative,270,179
positive,negative,270,180
positive,negative,270,180
positive,negative,270,181
positive,negative,271,181
positive,negative,271,181
positive,negative,271,181
positive,negative,271,181
positive,negative,271,182
positive,negative,272,182
positive,negative,272,183
positive,negative,272,183
positive,negative,273,183
positive,negative,274,183
positive,negative,275,183
positive,negative,276,183
positive,negative,276,184
positive,negative,276,184
positive,negative,276,185
positive,negative,277,185
positive,negative,277,185
positive,negative,277,185
positive,negative,277,185
positive,negative,277,186
positive,negative,278,186
positive,negative,278,187
positive,negative,278,187
positive,negative,279,187
positive,negative,280,187
positive,negative,281,187
positive,negative,282,187
positive,negative,282,188
positive,negative,282,188
positive,negative,282,189
positive,negative,283,189
positive,negative,283,189
positive,negative,283,189
positive,negative,283,189
positive,negative,283,190
positive,negative,284,190
positive,negative,284,191
positive,negative,284,191
positive,negative,285,191
positive,negative,286,191
positive,negative,287,191
positive,negative,288,191
positive,negative,288,192
positive,negative,288,192
positive,negative,288,193
positive,negative,289,193
positive,negative,289,193
positive,negative,289,193
positive,negative,289,193
positive,negative,289,194
positive,negative,290,194
positive,negative,290,195
positive,negative,290,195
positive,negative,291,195
positive,negative,292,195
positive,negative,293,195
positive,negative,294,195
positive,negative,294,196
positive,negative,294,196
positive,negative,294,197
positive,negative,295,197
positive,negative,295,197
positive,negative,295,197
positive,negative,295,197
positive,negative,295,198
positive,negative,296,198
positive,negative,296,199
positive,negative,296,199
positive,negative,297,199
positive,negative,298,199
positive,negative,299,199
positive,negative,300,199
positive,negative,300,200
positive,negative,300,200
positive,negative,300,201
positive,negative,301,201
positive,negative,301,201
positive,negative,301,201
positive,negative,301,201
positive,negative,301,202
positive,negative,302,202
positive,negative,302,203
positive,negative,302,203
positive,negative,303,203
positive,negative,304,203
positive,negative,305,203
positive,negative,306,203
positive,negative,306,204
positive,negative,306,204
positive,negative,306,205
positive,negative,307,205
positive,negative,307,205
positive,negative,307,205
positive,negative,307,205
positive,negative,307,206
positive,negative,308,206
positive,negative,308,207
positive,negative,308,207
positive,negative,309,207
positive,negative,310,207
positive,negative,311,207
positive,negative,312,207
positive,negative,312,208
positive,negative,312,208
positive,negative,312,209
positive,negative,313,209
positive,negative,313,209
positive,negative,313,209
positive,negative,313,209
positive,negative,313,210
positive,negative,314,210
positive,negative,314,211
positive,negative,314,211
positive,negative,315,211
positive,negative,316,211
positive,negative,317,211
positive,negative,318,211
positive,negative,318,212
positive,negative,318,212
positive,negative,318,213
positive,negative,319,213
